日付	勘定科目	支払先	支払金額	税区分	内消費税額	税抜価格	備考	元ファイル
2026/04/01	旅費交通費	JR東海 京都駅	12650	課税（内税10%）	1150	11500	JR乗車券類。登録番号T3180001031569	20260406_124608.jpg
2026/04/01	会議費・接待費	JR東海リテイリング（京都土産・プレシャスデリ）	4104	課税（内税8%）	304	3800	辻利の里/ぎおんの里 他3点（手土産）。登録番号T8180001031531	20260406_124853.jpg
2026/04/04	旅費交通費	JR西日本 新大阪駅	10000	非課税	0	10000	ICカードチャージ	1781264434869.jpg
2026/05/24	旅費交通費	ローソン 大津中央二丁目店	1000	非課税	0	1000	交通系マネーチャージ	1781230642443.jpg
2026/05/28	旅費交通費	JR西日本 京都駅	10000	非課税	0	10000	ICカードチャージ	1781230642412.jpg
2026/05/28	消耗品費	阪急梅田 2階中央催事	2090	要確認	  	  	交通系IC支払・品目不明→科目仮	1781230599801.jpg
2026/06/03	旅費交通費	JR西日本 大津駅	3000	非課税	0	3000	ICカードチャージ	1781230394591.jpg
